Episode 392/500 | Total reward: -200.0
Episode 393/500 | Total reward: -200.0
Episode 394/500 | Total reward: -200.0
Episode 395/500 | Total reward: -200.0
Episode 396/500 | Total reward: -200.0
Episode 397/500 | Total reward: -200.0
Episode 398/500 | Total reward: -200.0
Episode 399/500 | Total reward: -200.0
Episode 400/500 | Total reward: -200.0
Episode 401/500 | Total reward: -200.0
Episode 402/500 | Total reward: -200.0
Episode 403/500 | Total reward: -200.0
Episode 404/500 | Total reward: -200.0
Episode 405/500 | Total reward: -200.0
Episode 406/500 | Total reward: -200.0
Episode 407/500 | Total reward: -200.0
Episode 408/500 | Total reward: -200.0
Episode 409/500 | Total reward: -200.0
Episode 410/500 | Total reward: -200.0
Episode 411/500 | Total reward: -200.0
Episode 412/500 | Total reward: -200.0
Episode 413/500 | Total reward: -200.0
Episode 414/500 | Total reward: -200.0
Episode 415/500 | Total reward: -200.0
Episode 416/500 | Total reward: -200.0
Episode 417/500 | Total reward: -200.0
Episode 418/500 | Total reward: -200.0
Episode 419/500 | Total reward: -200.0
Episode 420/500 | Total reward: -200.0
Episode 421/500 | Total reward: -200.0
Episode 422/500 | Total reward: -200.0
Episode 423/500 | Total reward: -200.0
Episode 424/500 | Total reward: -200.0
Episode 425/500 | Total reward: -200.0
Episode 426/500 | Total reward: -200.0
Episode 427/500 | Total reward: -200.0
Episode 428/500 | Total reward: -200.0
Episode 429/500 | Total reward: -200.0
Episode 430/500 | Total reward: -200.0
Episode 431/500 | Total reward: -200.0
Episode 432/500 | Total reward: -200.0
Episode 433/500 | Total reward: -200.0
Episode 434/500 | Total reward: -200.0
Episode 435/500 | Total reward: -200.0
Episode 436/500 | Total reward: -200.0
Episode 437/500 | Total reward: -200.0
Episode 438/500 | Total reward: -200.0
Episode 439/500 | Total reward: -200.0
Episode 440/500 | Total reward: -200.0
Episode 441/500 | Total reward: -200.0
Episode 442/500 | Total reward: -200.0
Episode 443/500 | Total reward: -200.0
Episode 444/500 | Total reward: -200.0
Episode 445/500 | Total reward: -200.0
Episode 446/500 | Total reward: -200.0
Episode 447/500 | Total reward: -200.0
Episode 448/500 | Total reward: -200.0
Episode 449/500 | Total reward: -200.0
Episode 450/500 | Total reward: -200.0
Episode 451/500 | Total reward: -200.0
Episode 452/500 | Total reward: -200.0
Episode 453/500 | Total reward: -200.0
Episode 454/500 | Total reward: -200.0
Episode 455/500 | Total reward: -200.0
Episode 456/500 | Total reward: -200.0
Episode 457/500 | Total reward: -200.0
Episode 458/500 | Total reward: -200.0
Episode 459/500 | Total reward: -200.0
Episode 460/500 | Total reward: -200.0
Episode 461/500 | Total reward: -200.0
Episode 462/500 | Total reward: -200.0
Episode 463/500 | Total reward: -200.0
Episode 464/500 | Total reward: -200.0
Episode 465/500 | Total reward: -200.0
Episode 466/500 | Total reward: -200.0
Episode 467/500 | Total reward: -200.0
Episode 468/500 | Total reward: -200.0
Episode 469/500 | Total reward: -200.0
Episode 470/500 | Total reward: -200.0
Episode 471/500 | Total reward: -200.0
Episode 472/500 | Total reward: -200.0
Episode 473/500 | Total reward: -200.0
Episode 474/500 | Total reward: -200.0
Episode 475/500 | Total reward: -200.0
Episode 476/500 | Total reward: -200.0
Episode 477/500 | Total reward: -200.0
Episode 478/500 | Total reward: -200.0
Episode 479/500 | Total reward: -200.0
Episode 480/500 | Total reward: -200.0
Episode 481/500 | Total reward: -200.0
Episode 482/500 | Total reward: -200.0
Episode 483/500 | Total reward: -200.0
Episode 484/500 | Total reward: -200.0
Episode 485/500 | Total reward: -200.0
Episode 486/500 | Total reward: -200.0
Episode 487/500 | Total reward: -200.0
Episode 488/500 | Total reward: -200.0
Episode 489/500 | Total reward: -200.0
Episode 490/500 | Total reward: -200.0
Episode 491/500 | Total reward: -200.0
Episode 492/500 | Total reward: -200.0
Episode 493/500 | Total reward: -200.0
Episode 494/500 | Total reward: -200.0
Episode 495/500 | Total reward: -200.0
Episode 496/500 | Total reward: -200.0
Episode 497/500 | Total reward: -200.0
Episode 498/500 | Total reward: -200.0
Episode 499/500 | Total reward: -200.0
Episode 500/500 | Total reward: -200.0
