Episode 351/2000 | Total reward: -200.0
Episode 352/2000 | Total reward: -200.0
Episode 353/2000 | Total reward: -200.0
Episode 354/2000 | Total reward: -200.0
Episode 355/2000 | Total reward: -200.0
Episode 356/2000 | Total reward: -200.0
Episode 357/2000 | Total reward: -200.0
Episode 358/2000 | Total reward: -200.0
Episode 359/2000 | Total reward: -200.0
Episode 360/2000 | Total reward: -200.0
Episode 361/2000 | Total reward: -200.0
Episode 362/2000 | Total reward: -200.0
Episode 363/2000 | Total reward: -200.0
Episode 364/2000 | Total reward: -200.0
Episode 365/2000 | Total reward: -200.0
Episode 366/2000 | Total reward: -200.0
Episode 367/2000 | Total reward: -200.0
Episode 368/2000 | Total reward: -200.0
Episode 369/2000 | Total reward: -200.0
Episode 370/2000 | Total reward: -200.0
Episode 371/2000 | Total reward: -200.0
Episode 372/2000 | Total reward: -200.0
Episode 373/2000 | Total reward: -200.0
Episode 374/2000 | Total reward: -200.0
Episode 375/2000 | Total reward: -200.0
Episode 376/2000 | Total reward: -200.0
Episode 377/2000 | Total reward: -200.0
Episode 378/2000 | Total reward: -200.0
Episode 379/2000 | Total reward: -200.0
Episode 380/2000 | Total reward: -200.0
Episode 381/2000 | Total reward: -200.0
Episode 382/2000 | Total reward: -200.0
Episode 383/2000 | Total reward: -200.0
Episode 384/2000 | Total reward: -200.0
Episode 385/2000 | Total reward: -200.0
Episode 386/2000 | Total reward: -200.0
Episode 387/2000 | Total reward: -200.0
Episode 388/2000 | Total reward: -200.0
Episode 389/2000 | Total reward: -200.0
Episode 390/2000 | Total reward: -200.0
Episode 391/2000 | Total reward: -200.0
Episode 392/2000 | Total reward: -200.0
Episode 393/2000 | Total reward: -200.0
Episode 394/2000 | Total reward: -200.0
Episode 395/2000 | Total reward: -200.0
Episode 396/2000 | Total reward: -200.0
Episode 397/2000 | Total reward: -200.0
Episode 398/2000 | Total reward: -200.0
Episode 399/2000 | Total reward: -200.0
Episode 400/2000 | Total reward: -200.0
Episode 401/2000 | Total reward: -200.0
Episode 402/2000 | Total reward: -200.0
Episode 403/2000 | Total reward: -200.0
Episode 404/2000 | Total reward: -200.0
Episode 405/2000 | Total reward: -200.0
Episode 406/2000 | Total reward: -200.0
Episode 407/2000 | Total reward: -200.0
Episode 408/2000 | Total reward: -200.0
Episode 409/2000 | Total reward: -200.0
Episode 410/2000 | Total reward: -200.0
Episode 411/2000 | Total reward: -200.0
Episode 412/2000 | Total reward: -200.0
Episode 413/2000 | Total reward: -200.0
Episode 414/2000 | Total reward: -200.0
Episode 415/2000 | Total reward: -200.0
Episode 416/2000 | Total reward: -200.0
Episode 417/2000 | Total reward: -200.0
Episode 418/2000 | Total reward: -200.0
Episode 419/2000 | Total reward: -200.0
Episode 420/2000 | Total reward: -200.0
Episode 421/2000 | Total reward: -200.0
Episode 422/2000 | Total reward: -200.0
Episode 423/2000 | Total reward: -200.0
