Episode 224/5000 | Total reward: -200.0
Episode 225/5000 | Total reward: -200.0
Episode 226/5000 | Total reward: -200.0
Episode 227/5000 | Total reward: -200.0
Episode 228/5000 | Total reward: -200.0
Episode 229/5000 | Total reward: -200.0
Episode 230/5000 | Total reward: -200.0
Episode 231/5000 | Total reward: -200.0
Episode 232/5000 | Total reward: -200.0
Episode 233/5000 | Total reward: -200.0
Episode 234/5000 | Total reward: -200.0
Episode 235/5000 | Total reward: -200.0
Episode 236/5000 | Total reward: -200.0
Episode 237/5000 | Total reward: -200.0
Episode 238/5000 | Total reward: -200.0
Episode 239/5000 | Total reward: -200.0
Episode 240/5000 | Total reward: -200.0
Episode 241/5000 | Total reward: -200.0
Episode 242/5000 | Total reward: -200.0
Episode 243/5000 | Total reward: -200.0
Episode 244/5000 | Total reward: -200.0
Episode 245/5000 | Total reward: -200.0
Episode 246/5000 | Total reward: -200.0
Episode 247/5000 | Total reward: -200.0
Episode 248/5000 | Total reward: -200.0
Episode 249/5000 | Total reward: -200.0
Episode 250/5000 | Total reward: -200.0
Episode 251/5000 | Total reward: -200.0
Episode 252/5000 | Total reward: -200.0
Episode 253/5000 | Total reward: -200.0
Episode 254/5000 | Total reward: -200.0
Episode 255/5000 | Total reward: -200.0
Episode 256/5000 | Total reward: -200.0
Episode 257/5000 | Total reward: -200.0
Episode 258/5000 | Total reward: -200.0
Episode 259/5000 | Total reward: -200.0
Episode 260/5000 | Total reward: -200.0
Episode 261/5000 | Total reward: -200.0
Episode 262/5000 | Total reward: -200.0
Episode 263/5000 | Total reward: -200.0
Episode 264/5000 | Total reward: -200.0
Episode 265/5000 | Total reward: -200.0
Episode 266/5000 | Total reward: -200.0
Episode 267/5000 | Total reward: -200.0
Episode 268/5000 | Total reward: -200.0
Episode 269/5000 | Total reward: -200.0
Episode 270/5000 | Total reward: -200.0
Episode 271/5000 | Total reward: -200.0
Episode 272/5000 | Total reward: -200.0
Episode 273/5000 | Total reward: -200.0
Episode 274/5000 | Total reward: -200.0
Episode 275/5000 | Total reward: -200.0
Episode 276/5000 | Total reward: -200.0
Episode 277/5000 | Total reward: -200.0
Episode 278/5000 | Total reward: -200.0
Episode 279/5000 | Total reward: -200.0
Episode 280/5000 | Total reward: -200.0
Episode 281/5000 | Total reward: -200.0
Episode 282/5000 | Total reward: -200.0
Episode 283/5000 | Total reward: -200.0
Episode 284/5000 | Total reward: -200.0
Episode 285/5000 | Total reward: -200.0
Episode 286/5000 | Total reward: -200.0
Episode 287/5000 | Total reward: -200.0
Episode 288/5000 | Total reward: -200.0
Episode 289/5000 | Total reward: -200.0
Episode 290/5000 | Total reward: -200.0
Episode 291/5000 | Total reward: -200.0
Episode 292/5000 | Total reward: -200.0
Episode 293/5000 | Total reward: -200.0
Episode 294/5000 | Total reward: -200.0
Episode 295/5000 | Total reward: -200.0
Episode 296/5000 | Total reward: -200.0
Episode 297/5000 | Total reward: -200.0
Episode 298/5000 | Total reward: -200.0
Episode 299/5000 | Total reward: -200.0
Episode 300/5000 | Total reward: -200.0
Episode 301/5000 | Total reward: -200.0
Episode 302/5000 | Total reward: -200.0
Episode 303/5000 | Total reward: -200.0
Episode 304/5000 | Total reward: -200.0
Episode 305/5000 | Total reward: -200.0
Episode 306/5000 | Total reward: -200.0
Episode 307/5000 | Total reward: -200.0
Episode 308/5000 | Total reward: -200.0
Episode 309/5000 | Total reward: -200.0
Episode 310/5000 | Total reward: -200.0
Episode 311/5000 | Total reward: -200.0
Episode 312/5000 | Total reward: -200.0
Episode 313/5000 | Total reward: -200.0
Episode 314/5000 | Total reward: -200.0
Episode 315/5000 | Total reward: -200.0
Episode 316/5000 | Total reward: -200.0
Episode 317/5000 | Total reward: -200.0
Episode 318/5000 | Total reward: -200.0
Episode 319/5000 | Total reward: -200.0
Episode 320/5000 | Total reward: -200.0
Episode 321/5000 | Total reward: -200.0
Episode 322/5000 | Total reward: -200.0
Episode 323/5000 | Total reward: -200.0
